category,date,hours,minutes,seconds,name,distance
15K,2018-11-04,1,15,4,Hot Chocolate 15k 2018
Marathon,2019-10-13,3,47,50,Chicago Marathon 2019
15K,2019-11-03,1,10,22,Hot Chocolate 15k 2019
Half-Marathon,2020-01-25,1,44,37,F3 Frozen Half Marathon 2020
Half-Marathon,2021-11-06,1,39,3,Joshua Tree Half Marathon 2021
4M,2022-07-16,0,29,11,NYRR Italy Run 2022
5M,2022-07-31,0,39,3,NYRR Team Championships 2022
10K,2022-08-27,0,48,0,NYRR Grete's Great Gallop 2022
Half-Marathon,2022-10-09,1,37,36,NYRR Staten Island Half 2022
5K,2022-11-05,0,22,4,NYRR Abbott Dash to the Finish Line 5K 2022
4M,2022-11-20,0,31,1,NYRR Race to Deliver 4M to Benefit God's Love We Deliver 2022
15K,2022-12-03,1,14,11,NYRR Ted Corbitt 15K 2022
5K,2022-12-10,0,20,43,NYRR Frosty 5K 2022
Marathon,2023-05-05,3,34,24,Flying Pigs Marathon 2023
3.5M,2023-05-31,0,25,34,JP Morgan Corporate Challenge (NYC) 2023
10K,2023-08-26,0,47,54,NYRR Grete's Great Gallop 2023
Mile,2023-09-10,0,5,49,NYRR 5th Ave mile 2023
10M,2023-09-17,1,23,13,NYRR Bronx 10 miler 2023
Half-Marathon,2023-10-08,1,37,11,NYRR Staten Island Half 2023
Marathon,2023-11-05,3,28,48,NYC Marathon 2023
5K,2023-12-09,0,21,11,NYRR Frosty 5K 2023
Marathon,2024-04-14,3,24,40,Jersey City Marathon 2024
Ultras,2024-05-04,7,26,14,Bear Mountain 50K,31
3.5M,2024-05-30,0,23,24,JP Morgan Corporate Challenge (NYC) 2024
10K,2024-06-15,0,44,29,NYRR Queens 10K 2024
10M,2024-09-22,1,12,22,NYRR Bronx 10 Miler 2024
Half-Marathon,2024-10-13,1,37,53,NYRR Staten Island Half 2024
Marathon,2024-11-03,3,17,48,NYC Marathon 2024
Ultras,2024-12-01,9,31,48,Prospect Park 50 Miler 2024, 50
5K,2024-12-14,0,27,55,NYRR Frosty 5K 2024
Half-Marathon,2025-03-30,1,39,44,Harlem Hill Half 2025
4M,2025-04-13,0,26,34,NYRR Retro 4 Miler
3.5M,2025-05-29,0,22,20,JP Morgan Corporate Challenge (NYC) 2025
Unsanctioned,2025-06-27,0,50,57,OSR Dad's Route 2025
4M,2025-06-29,0,30,58,NYRR Achilles 4 Miler
Mile,2025-09-07,0,5,23,NYRR 5th Avenue Mile 2025
10M,2025-09-14,1,17,51,NYRR Bronx 10 Miler 2025
Ultras,2025-09-20,28,21,12,Mountain Lakes 100 2025, 100
Marathon,2025-11-02,3,8,50,NYC Marathon 2025
5K,2025-11-24,0,19,39,As Is Tofurkey Trot 2025
Ultras,2025-11-29,5,19,11,Squatchy Leftovers 50k 2025,31
Ultras,2024-01-20,,,,Manhattan Perimeter,35
Ultras,2024-08-10,,,,Manhattan Perimeter,33
Ultras,2024-06-19,,,,Brooklyn Perimeter,46
Ultras,2024-09-06,,,,San Francisco Perimeter,39
Ultras,2025-06-15,,,,Broadway,39
Ultras,2025-05-23,,,,Lakefront Trail Out & Back,39
Ultras,2026-01-30,3,44,31,Queensboro Bridge Marathon,26
Ultras,2025-08-22,3,21,39,Williamsburg Bridge Marathon,24
Ultras,2025-08-02,,,,Summer Streets x2,32
Ultras,2025-07-20,,,,The Bronx Perimeter,51
5K,2025-12-13,0,19,36,NYRR Frosty 5K 2025
Half-Marathon,2026-03-21,1,26,58,Annapolish Running Festival
5K,2010-10-20,0,21,48,Highschool Freshman 5K
5K,2011-10-19,0,20,48,Highschool Sophomore 5K
Mile,2011-05-15,0,5,45,Highschool Freshman Mile
Ultras,2026-03-22,,,,50 States of DC, 46
Unsanctioned,2024-02-23,0,57,14,OSR Bread Route Midtown
Unsanctioned,2025-06-08,,,,Whale Watching Checkpoint Race
3.5M,2019-05-23,0,26,55,JP Morgan Corporate Challenge (Chicago)
Mile,2025-12-04,0,5,33,NYRR Night at the Races #1
Half-Marathon,2026-04-11,1,32,15,Harlem Hill Half 2026
4M,2026-04-12,0,24,39,Run As One 4M 2026
